Birmingham,52.4775396,-1.894053
Banners Gate,52.5575025,-1.8708158
Birches Green,52.5155385,-1.8284362
Birchfield,52.5136618,-1.9070158
Brookvale Village,52.520667,-1.8718485
Falcon Lodge,52.5654431,-1.7835279
Hockley Port,52.4918175,-1.9254771
Lozells,52.5026318,-1.9095912
Maney,52.556256,-1.8263139
Moor End Green,52.5202158,-1.8317935
Newtown,52.4978509,-1.8963733
Over Green,52.5460378,-1.7533285
Reddicap Heath,52.5614849,-1.8002344
Roughley,52.5899478,-1.8005673
Thimble End,52.5444787,-1.7927468
Upper Witton,52.5264783,-1.8663139
Walmley Ash,52.5343587,-1.784782
Whitehouse Common,52.5720288,-1.8018459
Balti Triangle,52.4575883,-1.876639
Brindley Place,52.4774968,-1.9133938
Bromford Bridge,52.5052424,-1.8313255
Camp Hill Locks,52.4744796,-1.8772202
Colmore Business District,52.4822755,-1.9005758
Deritend,52.4735217,-1.8826851
Five Ways,52.4728311,-1.9185712
Gay Village,52.4722667,-1.8949886
Gib Heath,52.4957676,-1.9219208
Gunsmiths Quarter,52.4891191,-1.9001222
Paradise,52.4792475,-1.9051736
Parkgate,52.4134254,-1.8290121
The Hub,52.5155466,-1.8884617
Acocks Green,52.4478425,-1.822763
Bournbrook,52.4453338,-1.9316023
Castle Vale,52.5212593,-1.7845494
Digbeth,52.4734488,-1.8871192
Druids Heath,52.4050359,-1.9047976
Edgbaston,52.4603261,-1.9179098
Handsworth,52.5088327,-1.9387301
Handsworth Wood,52.5182394,-1.9192787
Jewellery Quarter,52.4879157,-1.9116096
Ladywood,52.4805954,-1.918506
Moseley,52.4473204,-1.8887846
Selly Park,52.4440464,-1.9204327
Winson Green,52.4968772,-1.9380313
Aston,52.5006916,-1.8841916
Erdington,52.5232514,-1.8395109
Harborne,52.4595363,-1.9503355
Kings Heath,52.4341996,-1.8915624
Northfield,52.4117187,-1.9634301
Sutton Coldfield,52.5633345,-1.8187089
Alum Rock,52.4870712,-1.8315298
Attwood Green,52.470879,-1.9032377
Balsall Heath,52.4572246,-1.8832067
Bartley Green,52.4359215,-1.9948924
Billesley,52.4264696,-1.8647618
Boldmere,52.547692,-1.840447
Bordesley,52.4778684,-1.8742622
Bordesley Green,52.4758869,-1.8512072
Bournville,52.4271788,-1.9364593
Brandwood End,52.4146955,-1.9013195
Buckland End,52.4980775,-1.7924408
California,52.4422729,-1.9796883
Castle Bromwich,52.5069138,-1.7860432
Chad Valley,52.4678359,-1.935888
Cotteridge,52.4162405,-1.9315079
Four Oaks,52.5861248,-1.8359184
Fox Hollies,52.4378631,-1.8367854
Garretts Green,52.4708347,-1.7803284
Gravelly Hill,52.5145539,-1.8487303
Greet,52.4536689,-1.8540878
Hall Green,52.4285007,-1.840403
Haslucks Green,52.4052726,-1.8486698
Hawkesley,52.39546,-1.9371103
Hay Mills,52.4602874,-1.8356071
Highgate,52.4659188,-1.8865233
Highters Heath,52.4051391,-1.8809208
Hodge Hill,52.4981788,-1.8112796
Kineton Green,52.4326177,-1.8109544
Kingstanding,52.5530147,-1.8843477
Kitts Green,52.4834707,-1.7757966
Lifford,52.4180982,-1.9198314
Little Sutton,52.5864702,-1.8156741
Longbridge,52.3940521,-1.9807506
Lyndon Green,52.4649907,-1.793042
Marston Green,52.4684641,-1.7516876
Mere Green,52.5872475,-1.8283329
Minworth,52.5286205,-1.7686888
Nechells,52.5023095,-1.8605038
New Oscott,52.5467343,-1.8642309
Olton,52.4403249,-1.8082099
Park Central,52.4702101,-1.9063187
Perry Barr,52.5225941,-1.8956363
Rednal,52.3927929,-2.0011321
Saltley,52.4888251,-1.8571552
Selly Oak,52.440222,-1.9382689
Sheldon,52.4533229,-1.778016
Shenley Fields,52.4277489,-1.9763829
Short Heath,52.5365901,-1.8582755
Small Heath,52.4681262,-1.8513874
Solihull Lodge,52.4048909,-1.8577716
Sparkbrook,52.4639671,-1.8758275
Sparkhill,52.4533095,-1.8675068
Springfield,52.4446858,-1.8602762
Stechford,52.484208,-1.8094013
Stirchley,52.4293992,-1.9203461
Stockland Green,52.5238654,-1.8590967
Tile Cross,52.4784519,-1.7647495
Turves Green,52.4035104,-1.9666324
Tyburn,52.5206089,-1.8053711
Tyseley,52.454436,-1.8366888
Vauxhall,52.4854672,-1.875952
Wake Green,52.4405852,-1.8708559
Walkers Heath,52.4051241,-1.9216382
Walmley,52.540133,-1.7991693
Ward End,52.492066,-1.8268169
Warstock,52.4122176,-1.8675046
Washwood Heath,52.4957234,-1.8538937
Water Orton,52.5171385,-1.7399451
Weoley Castle,52.4393635,-1.9746573
West Heath,52.4032513,-1.9507067
Wylde Green,52.539476,-1.8217375
Yardley,52.4709562,-1.8159436
Yardley Wood,52.418916,-1.8529652
Coventry,52.4081812,-1.510477
Harvest Hill,52.4388358,-1.5894815
Keresley Green,52.4530853,-1.5376866
Hawkesbury Junction,52.4577932,-1.4694394
World Food,52.4095283,-1.5080501
Allesley Park,52.41567,-1.5617116
Ball Hill,52.4108775,-1.484491
Bell Green,52.4347716,-1.474938
Brownshill Green,52.4389888,-1.5582886
Canley,52.3952513,-1.5720644
